Rk,Player,League,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
390,Guillermo Maripán,Ligue 1,cl CHI,DF,Monaco,27,1994,26,21,1832,20.4,0,0,0,0,0,0,5,0,0.6,0.6,0.3,1,11,80,2,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,36,24,27,9,0,20,40,50,20,21,14,7,25,61,66,1
391,Marquinhos,Ligue 1,br BRA,DF,Paris S-G,27,1994,32,32,2861,31.8,5,0,5,5,0,0,5,0,3.8,3.8,0.4,4.1,9,128,8,0.16,0,0.16,0.16,0.16,0.12,0.01,0.13,0.12,0.13,37,14,25,11,1,20,35,57.1,15,35,19,16,16,53,102,0
392,Jonas Martin,Ligue 1,fr FRA,MF,Rennes,31,1990,29,24,2105,23.4,1,1,2,1,0,0,8,0,1.2,1.2,1.3,2.5,8,132,14,0.04,0.04,0.09,0.04,0.09,0.05,0.06,0.11,0.05,0.11,35,20,12,21,2,19,53,35.8,34,17,3,14,22,57,28,1
393,Gelson Martins,Ligue 1,pt POR,MFFW,Monaco,26,1995,32,24,1905,21.2,4,3,7,4,0,0,4,0,5.7,5.7,2.5,8.2,67,57,236,0.19,0.14,0.33,0.19,0.33,0.27,0.12,0.39,0.27,0.39,42,27,10,26,6,21,59,35.6,38,26,1,25,17,59,4,0
394,Pape Matar Sarr,Ligue 1,sn SEN,MF,Metz,18,2002,33,22,2129,23.7,1,3,4,1,0,0,7,0,2.1,2.1,1.5,3.6,37,115,49,0.04,0.13,0.17,0.04,0.17,0.09,0.06,0.15,0.09,0.15,45,26,21,23,1,18,39,46.2,21,33,3,30,29,74,22,0
395,Eliot Matazo,Ligue 1,be BEL,MF,Monaco,19,2002,18,8,790,8.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,14,46,11,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,8,7,4,4,0,2,11,18.2,9,11,3,8,13,21,9,0
396,Chrislain Matsima,Ligue 1,fr FRA,DF,Monaco,19,2002,7,1,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,3,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,3,2,1,2,0,2,7,28.6,5,3,3,0,1,4,6,1
397,Azor Matusiwa,Ligue 1,nl NED,MF,Reims,23,1998,29,29,2463,27.4,1,1,2,1,0,0,8,1,0.4,0.4,0.8,1.2,11,132,13,0.04,0.04,0.07,0.04,0.07,0.01,0.03,0.04,0.01,0.04,58,32,28,26,4,26,55,47.3,29,49,19,30,62,120,43,0
398,Stephy Mavididi,Ligue 1,eng ENG,FWMF,Montpellier,23,1998,30,27,2299,25.5,8,3,11,8,0,0,4,0,7.6,7.6,3.3,10.8,74,34,182,0.31,0.12,0.43,0.31,0.43,0.3,0.13,0.42,0.3,0.42,24,13,11,7,6,14,39,35.9,25,23,2,21,8,32,11,0
399,Derek Mazou-Sacko,Ligue 1,fr FRA,FWDF,Troyes,16,2004,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,100,0,0,0,0,0,1,1,0
400,Kylian Mbappé,Ligue 1,fr FRA,FW,Paris S-G,22,1998,35,34,3023,33.6,28,17,45,24,4,4,10,0,23.8,20.7,12.6,33.4,210,107,449,0.83,0.51,1.34,0.71,1.22,0.71,0.38,1.08,0.62,0.99,11,8,1,4,6,7,13,53.8,6,6,0,6,5,16,13,0
401,Amadou Mbengue,Ligue 1,sn SEN,DFMF,Metz,19,2002,12,5,610,6.8,0,0,0,0,0,0,4,0,0,0,0.1,0.1,2,18,1,0,0,0,0,0,0,0.01,0.02,0,0.02,19,10,10,9,0,11,22,50,11,7,2,5,10,29,19,0
402,Jason Mbock,Ligue 1,fr FRA,FW,Angers,21,1999,1,0,17,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
403,Moustapha Mbow,Ligue 1,sn SEN,DF,Reims,21,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,2,1,3,3,100,0,0,0,0,1,7,6,0
404,Nathanael Mbuku,Ligue 1,fr FRA,FWMF,Reims,19,2002,31,18,1418,15.8,2,1,3,2,0,0,1,0,2.4,2.4,0.7,3,57,40,78,0.13,0.06,0.19,0.13,0.19,0.15,0.04,0.19,0.15,0.19,14,13,4,7,3,2,8,25,6,14,0,14,11,25,4,0
405,Facundo Medina,Ligue 1,ar ARG,DF,Lens,22,1999,31,30,2593,28.8,1,0,1,1,0,0,11,0,1.3,1.3,0.2,1.5,52,201,12,0.03,0,0.03,0.03,0.03,0.05,0.01,0.05,0.05,0.05,61,42,34,23,4,38,62,61.3,24,24,8,16,37,98,78,3
406,Farid El Melali,Ligue 1,dz ALG,FW,Angers,24,1997,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0.21,0.21,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
407,Birger Meling,Ligue 1,no NOR,DF,Rennes,26,1994,31,20,1829,20.3,0,4,4,0,0,0,3,0,0.2,0.2,1.9,2.2,37,87,92,0,0.2,0.2,0,0.2,0.01,0.09,0.11,0.01,0.11,43,27,25,11,7,23,31,74.2,8,23,7,16,22,65,40,0
408,Houboulang Mendes,Ligue 1,fr FRA,DF,Lorient,23,1998,36,36,3220,35.8,0,1,1,0,0,0,5,1,1,1,1.6,2.6,56,78,75,0,0.03,0.03,0,0.03,0.03,0.05,0.07,0.03,0.07,58,28,37,18,3,40,57,70.2,17,41,21,20,41,99,128,4
409,Nuno Mendes,Ligue 1,pt POR,DF,Paris S-G,19,2002,27,18,1658,18.4,0,1,1,0,0,0,3,0,0.3,0.3,2.8,3.1,41,53,128,0,0.05,0.05,0,0.05,0.01,0.15,0.17,0.01,0.17,48,29,23,18,7,25,47,53.2,22,27,5,22,21,69,17,1
410,Pedro Mendes,Ligue 1,pt POR,DF,Montpellier,30,1990,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0,0.29,0.29,0,0.29,1,1,1,0,0,0,0,,0,1,1,0,0,1,2,0
411,Thiago Mendes,Ligue 1,br BRA,MFDF,Lyon,29,1992,29,21,1863,20.7,1,1,2,1,0,0,3,1,0.7,0.7,1.4,2.1,8,112,21,0.05,0.05,0.1,0.05,0.1,0.03,0.07,0.1,0.03,0.1,36,22,18,16,2,12,30,40,18,24,5,19,34,70,56,1
412,Arial Mendy,Ligue 1,sn SEN,DFFW,Clermont Foot,26,1994,18,9,792,8.8,0,0,0,0,0,0,1,0,0.5,0.5,1.7,2.2,30,26,54,0,0,0,0,0,0.05,0.19,0.25,0.05,0.25,6,4,4,2,0,2,11,18.2,9,6,1,5,7,13,17,0
413,Batista Mendy,Ligue 1,fr FRA,MFDF,Angers,21,2000,34,27,2413,26.8,1,1,2,1,0,0,5,0,0.8,0.8,0.6,1.5,20,117,23,0.04,0.04,0.07,0.04,0.07,0.03,0.02,0.05,0.03,0.05,49,28,21,22,6,23,45,51.1,22,37,6,31,34,83,40,0
414,Gideon Mensah,Ligue 1,gh GHA,DF,Bordeaux,23,1998,23,13,1208,13.4,0,2,2,0,0,0,1,1,0.1,0.1,1.8,2,40,62,79,0,0.15,0.15,0,0.15,0.01,0.14,0.15,0.01,0.15,37,24,19,12,6,18,38,47.4,20,11,2,9,16,53,21,0
415,Quentin Merlin,Ligue 1,fr FRA,DFMF,Nantes,19,2002,28,21,1926,21.4,2,3,5,2,0,0,0,0,0.4,0.4,2.7,3.1,49,132,99,0.09,0.14,0.23,0.09,0.23,0.02,0.13,0.15,0.02,0.15,45,28,19,20,6,26,49,53.1,23,25,4,21,27,72,29,2
416,Lionel Messi,Ligue 1,ar ARG,FWMF,Paris S-G,34,1987,26,24,2153,23.9,6,14,20,6,0,0,0,0,10,10,8.8,18.9,113,291,125,0.25,0.59,0.84,0.25,0.84,0.42,0.37,0.79,0.42,0.79,10,3,1,5,4,3,13,23.1,10,5,0,5,4,14,0,0
417,Mexer,Ligue 1,mz MOZ,DF,Bordeaux,32,1988,16,14,1227,13.6,1,0,1,1,0,0,2,0,0.3,0.3,0,0.3,1,22,0,0.07,0,0.07,0.07,0.07,0.02,0,0.02,0.02,0.02,14,10,11,3,0,11,17,64.7,6,12,7,5,21,35,60,2
418,Edouard Michut,Ligue 1,fr FRA,MF,Paris S-G,18,2003,5,0,70,0.8,0,1,1,0,0,0,0,1,0,0,0.1,0.1,1,6,2,0,1.29,1.29,0,1.29,0,0.08,0.08,0,0.08,0,0,0,0,0,0,2,0,2,2,0,2,1,1,2,0
419,Georges Mikautadze,Ligue 1,ge GEO,FW,Metz,20,2000,1,0,1,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,0,1,0,0,0,0,0,19.93,0,19.93,19.93,19.93,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
